Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2017-11-25 00:00:00,8199.83,8737,8114.78,8717.99,11611.67,97628924.79,8407.83
2017-11-26 00:00:00,8718,9366.6,8538.2,9271.06,12021.22,108525815.45,9027.86
2017-11-27 00:00:00,9278.99,9721.7,9267,9708.07,13272.45,126458117.67,9527.86
2017-11-28 00:00:00,9708.06,9968,9582.25,9868.82,11214.93,110496755.85,9852.65
2017-11-29 00:00:00,9877.63,11395,9250,9824.68,33432.34,346949562.2,10377.66
2017-11-30 00:00:00,9833.7,10618.29,9000,9947.67,25433.46,247093850.76,9715.31
2017-12-01 00:00:00,9927.29,10949.89,9370.11,10840.45,16708.03,171881760.62,10287.37
2017-12-02 00:00:00,10840.45,11200,10637.69,10872,9267.16,101270084.38,10927.84
2017-12-03 00:00:00,10875.68,11800.01,10513.16,11250,14238.53,160176290.44,11249.5
2017-12-04 00:00:00,11250,11613.07,10850,11613.07,13621.48,154122917.9,11314.7
2017-12-05 00:00:00,11613.07,11850,11384.25,11677,11875.03,138370076.16,11652.18
2017-12-06 00:00:00,11676.99,13700,11659.8,13623.5,19784.87,250560790.3,12664.26
2017-12-07 00:00:00,13623,16615.62,13085.9,16599.99,25787.68,382694044.13,14840.19
2017-12-08 00:00:00,16599.99,16666.66,13482.42,15800,25473.4,389366035.09,15285.2
2017-12-09 00:00:00,15799.87,15998.5,12701.05,14607.49,16587.47,238909072.56,14402.98
2017-12-10 00:00:00,14601.01,15385,13011,14691,18487.98,263150668,14233.61
2017-12-11 00:00:00,14690.99,17270,14677.19,16470,16583.72,270203844.28,16293.32
2017-12-12 00:00:00,16470,17428.42,15967.29,16650.01,13517.89,227842348.7,16854.87
2017-12-13 00:00:00,16650.01,17107.03,15497.69,16250,17136.71,281640493.79,16434.93
2017-12-14 00:00:00,16245.02,16830.45,15852.69,16404.99,13409.52,219263192.46,16351.3
2017-12-15 00:00:00,16404.99,17934,16337.19,17471.5,18998.39,329337014.76,17335
2017-12-16 00:00:00,17477.98,19377,17269.99,19187.78,9761.22,179906034.64,18430.69
2017-12-17 00:00:00,19187.78,19666,18465,18953,9749.25,186310530.76,19110.24
2017-12-18 00:00:00,18953,19220,17835.2,18940.57,14678.94,273533539.4,18634.42
2017-12-19 00:00:00,18940.58,19160.79,16831.26,17700,21528.14,387206242.38,17986.05
2017-12-20 00:00:00,17700,17950,15343.04,16466.98,31172.23,521350550.61,16724.84
2017-12-21 00:00:00,16466.98,17281.17,15005,15600.01,20377.86,326730689.65,16033.61
2017-12-22 00:00:00,15600,15795.61,11159.93,14009.79,57444.89,772143020.64,13441.46
2017-12-23 00:00:00,13980,15756.22,13496.48,14619,21786.41,322120599.56,14785.39
2017-12-24 00:00:00,14619,14619.1,12488,14157.87,18519.49,250476423.64,13525.02
2017-12-25 00:00:00,14107.87,14650,13210,13911.28,11564.54,161347357.08,13951.9
2017-12-26 00:00:00,13925.5,16147.87,13746.95,15764.44,15051.16,230922569.15,15342.51
2017-12-27 00:00:00,15764.45,16480.52,14484,15364.93,15643.75,241860985.13,15460.55
2017-12-28 00:00:00,15390.05,15474.19,13500,14470.07,16557.22,234428578.54,14158.69
2017-12-29 00:00:00,14436.99,15111,13998,14340,13505.7,195727638.77,14492.22
2017-12-30 00:00:00,14351,14463.28,12050,12640,21749.67,285985550.32,13148.96
2017-12-31 00:00:00,12640,14296.06,12491.21,13880,11583.42,154552644.47,13342.58
2018-01-01 00:00:00,13880,13941.75,12801.38,13443.41,7688.03,102815718.45,13373.48
2018-01-02 00:00:00,13394.2,15257.53,12910.58,14678.94,16299.67,229138844.08,14057.88
2018-01-03 00:00:00,14670.96,15500,14546.28,15155.62,12275,183639413.74,14960.44
2018-01-04 00:00:00,15155.62,15430.27,14192.37,15143.67,15004.02,222160244.49,14806.72
2018-01-05 00:00:00,15143.67,17200,14810,16928,16248.91,259695892.85,15982.35
2018-01-06 00:00:00,16927.99,17234.99,16220,17149.67,9501.02,158389594.51,16670.8
2018-01-07 00:00:00,17142.43,17149.97,15707.16,16124.02,8632.81,141555094.16,16397.33
2018-01-08 00:00:00,16173.98,16300,13900,14999.99,16676.35,251877784.14,15103.89
2018-01-09 00:00:00,14999.99,15367.18,14123.97,14403.51,13913.52,204579121.58,14703.62
2018-01-10 00:00:00,14403.51,14900,13412,14890.02,18479.01,261210687.03,14135.53
2018-01-11 00:00:00,14899.99,14973.07,12800,13243.83,19630.08,266846190.81,13593.74
2018-01-12 00:00:00,13249.99,14152.19,12807.27,13781.41,13433.08,183399343.52,13652.81
2018-01-13 00:00:00,13829.28,14619.1,13789.42,14197.78,7488.99,106595650.09,14233.65
2018-01-14 00:00:00,14197.78,14365.81,13072.22,13647.99,7588.64,102783826.66,13544.44
2018-01-15 00:00:00,13647.99,14394.36,13429.25,13607.04,9444.64,131049852.36,13875.59
2018-01-16 00:00:00,13581.66,13607.04,10162,11386.34,38789.88,457725763.37,11800.13
2018-01-17 00:00:00,11393.97,11794.07,9222,11191.35,41356.19,433168120.05,10474.08
2018-01-18 00:00:00,11199,12146,10693,11247.57,22195.26,256082649.98,11537.72
2018-01-19 00:00:00,11290.9,12050.39,11025.18,11552,13203.26,151834406.42,11499.77
2018-01-20 00:00:00,11560.82,13052.12,11515.94,12775.99,10324.06,128912075.53,12486.57
2018-01-21 00:00:00,12782.99,12791.88,11100,11558.87,11596.44,137150604.64,11826.96
2018-01-22 00:00:00,11558.87,11910.78,10028.41,10808.99,17067.73,186028930.55,10899.45
2018-01-23 00:00:00,10810,10994.56,9927.54,10620.56,11216.6,117528596.53,10478.1